"OldName","NewName","Folder","Description","Candidate","Line"
"Affaires non terminées ou annulées","Affaires non terminées ou annulées","Activité et qualité de service","Suit un volume d'activité ou un indicateur de qualité de service.","False","2694"
"#AffairesTerminéesDansLesTemps","Affaires terminées dans les temps","Activité et qualité de service","Suit un volume d'activité ou un indicateur de qualité de service.","False","2675"
"#AffairesTerminéesEnRetard","Affaires terminées en retard","Activité et qualité de service","Suit un volume d'activité ou un indicateur de qualité de service.","False","2678"
"# Affaires","Nombre d'affaires","Activité et qualité de service","Suit un volume d'activité ou un indicateur de qualité de service.","False","2671"
"# AffairesTraitées","Nombre d'affaires traitées","Activité et qualité de service","Suit un volume d'activité ou un indicateur de qualité de service.","False","2681"
"Satisfaction annuelle","Satisfaction annuelle","Activité et qualité de service","Suit un volume d'activité ou un indicateur de qualité de service.","False","1733"
"%AffairesTerminéesDansLesTemps","Taux d'affaires terminées dans les temps","Activité et qualité de service","Suit un volume d'activité ou un indicateur de qualité de service.","False","2685"
"Nombre d'assurés","Nombre d'assurés","Assurances","Suit la couverture assurantielle des locataires ou des logements.","False","2775"
"Tx d'assurés","Taux d'assurés","Assurances","Suit la couverture assurantielle des locataires ou des logements.","False","2763"
"Tx d'assurés n-1","Taux d'assurés année précédente","Assurances","Suit la couverture assurantielle des locataires ou des logements. La comparaison se fait avec la même période de l'année précédente.","False","3899"
"€ Dette","Dette","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","3420"
"Impayé des Partis","Dette des locataires partis","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution.","False","3540"
"Dette Partis M-1","Dette des locataires partis du mois précédent","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette. La comparaison se fait avec le mois précédent.","False","2053"
"Impayé des présents","Dette des locataires présents","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution.","False","3535"
"Dette Présents M-1","Dette des locataires présents du mois précédent","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette. La comparaison se fait avec le mois précédent.","False","2015"
"€ Dette HPP","Dette hors passages en perte","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution. Le résultat est cumulé depuis le début de l'année.","False","3455"
