"Model","File","OldName","NewName","Folder","Description","Candidate","Line"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Affaires non terminées ou annulées","Affaires non terminées ou annulées","Activité et qualité de service","Suit un volume d'activité ou un indicateur de qualité de service.","False","1512"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","#AffairesTerminéesDansLesTemps","Affaires terminées dans les temps","Activité et qualité de service","Suit un volume d'activité ou un indicateur de qualité de service.","False","1485"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","#AffairesTerminéesEnRetard","Affaires terminées en retard","Activité et qualité de service","Suit un volume d'activité ou un indicateur de qualité de service.","False","1490"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","# Affaires","Nombre d'affaires","Activité et qualité de service","Suit un volume d'activité ou un indicateur de qualité de service.","False","1479"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","# AffairesTraitées","Nombre d'affaires traitées","Activité et qualité de service","Suit un volume d'activité ou un indicateur de qualité de service.","False","1495"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Satisfaction annuelle","Satisfaction annuelle","Activité et qualité de service","Suit un volume d'activité ou un indicateur de qualité de service.","False","876"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","%AffairesTerminéesDansLesTemps","Taux d'affaires terminées dans les temps","Activité et qualité de service","Suit un volume d'activité ou un indicateur de qualité de service.","False","1501"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Nombre d'assurés","Nombre d'assurés","Assurances","Suit la couverture assurantielle des locataires ou des logements.","False","1788"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Tx d'assurés","Taux d'assurés","Assurances","Suit la couverture assurantielle des locataires ou des logements.","False","1770"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Tx d'assurés n-1","Taux d'assurés année précédente","Assurances","Suit la couverture assurantielle des locataires ou des logements. La comparaison se fait avec la même période de l'année précédente.","False","2509"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ Dette","Dette","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","1985"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Impayé des Partis","Dette des locataires partis","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution.","False","2099"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Dette Partis M-1","Dette des locataires partis du mois précédent","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette. La comparaison se fait avec le mois précédent.","False","1108"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Impayé des présents","Dette des locataires présents","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution.","False","2092"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Dette Présents M-1","Dette des locataires présents du mois précédent","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette. La comparaison se fait avec le mois précédent.","False","1097"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ Dette HPP","Dette hors passages en perte","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution. Le résultat est cumulé depuis le début de l'année.","False","2028"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Dette HPP M-1","Dette hors passages en perte du mois précédent","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution. La comparaison se fait avec le mois précédent.","False","2360"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Soldem_ca_operation_+ yc PP","Dette positive avec passages en perte","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","613"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Soldem_ca_operation_+_Partis","Dette positive des locataires partis","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","1102"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Soldem_ca_operation_+_Present","Dette positive des locataires présents","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","312"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Soldem1_ca_operation_+","Dette positive du mois précédent","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette. La comparaison se fait avec le mois précédent.","False","92"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Soldem_ca_operation_+ hpp","Dette positive hors passages en perte","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","98"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Dette présents","Dette présents","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","1068"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","MoisDecembrePrecedent","Mois de décembre précédent","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","1123"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ Dette YTD","Montant Dette cumul annuel","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution. La comparaison se fait avec la même période de l'année précédente.","False","1992"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ Dette M1","Montant Dette mois précédent","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution. La comparaison se fait avec le mois précédent.","False","2059"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","MontantTotal3*Dette_SUMX","Montant total des dettes élevées","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","436"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","NombreCodeCADistinctsAvec3*Dette","Nombre de contrats avec dette élevée","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","430"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Nb Foyers en impayé","Nombre de Foyers en impayé","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","819"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Nb ménage en impayé","Nombre de ménages en impayé","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","418"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","Nombre endetté","Nombre endetté","Dette et impayés","Indique une proportion liée aux impayés ou à l'évolution de la dette.","False","1812"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ PP","Passages en perte","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution.","False","1998"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","€ PP YTD","Passages en perte cumulés annuels","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution. La comparaison se fait avec la même période de l'année précédente.","False","2004"
"Activité de développement et rehab.SemanticModel","Activité de développement et rehab\Activité de développement et rehab.SemanticModel\definition\tables\Mesure.tmdl","CumulPassagesEnPerteAnnuel","Passages en perte cumulés annuels historique","Dette et impayés","Suit les montants restant dus, les impayés ou leur évolution.","False","110"
